oa11cd,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00004126,7,4,1,8,2,6,2,4,4,1,3,2,2,3,3,1,2,4,4,1,2,0,3,1,4,1,6,4,4,8,7,7,10,10,7,8,10,10,12,12,8,1,6,8,5,8,15,9,14,6,11,10,9,3,4,8,8,2,3,5,3,0,2,0,0,2,2,2,0,3,3,2,3,2,3,2,1,3,1,0,0,0,0,7,1,2,2,2,0,0,2
E00004128,4,5,2,6,1,1,5,2,9,5,4,7,7,4,6,9,9,5,3,1,5,0,2,1,1,6,7,2,6,6,7,6,6,5,8,11,6,11,13,13,7,3,7,7,5,12,10,8,9,9,18,12,7,17,12,3,1,8,5,0,0,1,0,3,3,0,2,3,2,5,7,5,3,4,4,3,0,1,0,4,1,0,0,0,1,4,3,0,7,1,3
E00004129,5,6,8,7,6,4,3,3,7,6,5,2,0,0,3,2,0,3,1,0,1,1,2,0,3,5,7,4,1,16,7,9,7,10,8,9,12,11,17,10,7,11,2,5,9,11,1,2,9,8,2,11,5,5,6,3,4,5,4,3,2,0,3,1,2,0,6,2,3,3,1,5,1,4,2,1,3,0,0,1,2,1,1,1,1,0,0,0,0,0,10
E00004131,4,8,2,3,4,5,0,3,3,3,1,3,3,2,2,3,9,4,7,4,7,4,1,1,4,6,5,6,3,6,6,9,7,4,8,6,8,3,5,10,5,6,7,5,3,3,2,10,2,6,8,7,10,10,4,5,2,5,1,2,1,2,1,3,1,2,2,1,0,2,4,5,2,3,4,1,0,1,2,1,1,3,0,0,1,1,2,0,1,0,5
E00004132,1,4,2,4,4,6,6,4,2,3,0,6,1,4,2,1,3,0,4,0,0,1,1,0,1,1,2,2,3,4,2,5,5,1,7,5,4,6,5,1,7,5,3,3,3,4,3,2,5,9,6,9,16,10,4,4,2,4,0,0,0,2,0,1,0,3,2,2,1,0,1,0,4,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,4
E00004137,2,1,4,2,2,3,3,0,2,2,5,1,1,3,1,10,0,5,2,3,1,1,0,4,0,2,2,1,3,6,5,2,12,6,6,5,6,12,3,7,9,5,7,2,2,8,5,9,0,9,9,14,7,6,8,3,5,0,5,2,1,2,4,1,5,2,2,5,0,4,3,6,1,5,1,2,2,3,2,1,1,0,1,1,1,0,4,4,0,0,3
E00004124,1,2,0,2,1,1,3,1,2,2,2,5,0,1,1,2,2,2,4,0,0,4,1,3,2,3,0,1,1,7,3,7,2,4,2,0,7,3,1,6,3,4,5,1,3,2,4,3,3,2,4,2,1,4,2,0,2,2,3,0,2,0,2,0,4,4,2,1,1,0,1,2,3,3,1,2,1,1,0,0,0,3,0,1,1,0,2,0,0,0,6
E00004125,4,9,5,4,1,1,6,5,1,3,1,1,1,0,0,1,0,2,3,0,1,0,4,3,6,10,16,7,19,10,9,14,13,14,12,9,8,15,7,7,3,9,9,5,7,5,5,6,7,6,5,4,3,2,4,4,3,5,2,2,1,0,4,4,3,3,3,1,1,1,3,2,1,0,5,1,4,1,3,0,1,0,3,3,0,0,1,1,1,1,2
E00004127,2,3,2,2,3,1,3,3,3,1,0,3,3,2,3,1,0,1,2,4,0,1,4,3,5,10,4,7,9,10,15,7,16,12,6,9,7,4,7,6,3,7,3,6,7,1,2,6,2,1,2,4,4,1,1,2,4,1,1,3,2,1,6,4,2,2,1,1,5,2,5,2,1,2,5,1,3,4,1,6,1,2,0,1,1,1,1,0,0,1,2
E00004130,6,1,5,6,10,3,6,6,3,3,5,2,1,1,0,1,1,0,1,0,2,3,4,5,1,0,6,6,10,7,5,8,16,10,5,9,6,6,10,5,5,7,5,5,6,2,2,4,5,3,5,1,4,3,4,4,3,1,0,4,1,3,3,0,3,2,1,1,1,4,2,0,0,1,2,0,0,2,5,2,0,0,0,0,0,0,1,0,2,0,0
